Vsup_V,Iz_mA,Vz_V
0.0,0.0,0.0
0.1,0.0,0.1
0.2,0.0,0.2
0.3,0.0,0.3
0.4,0.0,0.4
0.5,0.0,0.5
0.55,0.002,0.55
0.6,0.008,0.59
0.65,0.025,0.62
0.7,0.05,0.65
0.75,0.09,0.66
